place,institution,wish name,number of spots,admission percentage,section 1,section 2,subjects 1,subjects 2,subjects 3,international,relative overall average,absolute value overall average,french grade
PARIS,Paris II Panthéon Assas,Licence de droit,972,16,DROIT,SC. POLITIQUES RI,['HGGSP'],"['HLP', 'SES']",['DROIT ET GRANDS ENJEUX'],0,3,4,4
PARIS,Paris I Panthéon Sorbonne,Licence de droit,745,16,DROIT,SC. POLITIQUES RI,['HGGSP'],"['HLP', 'SES']",['DROIT ET GRANDS ENJEUX'],0,3,4,4
PARIS,Paris I Panthéon Sorbonne,Double Licence Droit et Science Politique,60,5,DROIT,SC. POLITIQUES RI,['HGGSP'],"['HLP', 'SES']",['DROIT ET GRANDS ENJEUX'],0,4,5,5
NANTERRE,Paris Nanterre,Licence de droit,770,53,DROIT,SC. POLITIQUES RI,['HGGSP'],"['HLP', 'SES']",['DROIT ET GRANDS ENJEUX'],0,3,3,4
NANTERRE,Paris Nanterre,Licence de droit Français - droit étranger - Droit français Common Law,115,26,DROIT,SC. POLITIQUES RI,['HGGSP'],"['HLP', 'SES']",['DROIT ET GRANDS ENJEUX'],1,4,3,4
PARIS,Paris Cité,Licence de droit,527,38,DROIT,SC. POLITIQUES RI,['HGGSP'],"['HLP', 'SES']",['DROIT ET GRANDS ENJEUX'],0,2,3,3
PARIS,Catho de Paris - ICP,Licence de droit - Campus de Paris,250,43,DROIT,SC. POLITIQUES RI,['HGGSP'],"['HLP', 'SES']",['DROIT ET GRANDS ENJEUX'],0,2,3,4
REIMS,Catho de Paris - ICP,Reims – Licence de droit,90,73,DROIT,SC. POLITIQUES RI,['HGGSP'],"['HLP', 'SES']",['DROIT ET GRANDS ENJEUX'],0,2,3,3
ROUEN,Catho de Paris - ICP,Rouen – Licence de droit,90,79,DROIT,SC. POLITIQUES RI,['HGGSP'],"['HLP', 'SES']",['DROIT ET GRANDS ENJEUX'],0,2,3,3
ISSY-LES-MOULINEAUX,Institut Catholique de Lille,Licence de Droit Parcours droit et culture juridique - Issy les Moulineaux,150,99,DROIT,SC. POLITIQUES RI,['HGGSP'],"['HLP', 'SES']",['DROIT ET GRANDS ENJEUX'],0,2,3,3
ISSY-LES-MOULINEAUX,Institut Catholique de Lille,Licence de Droit – Parcours Multilingue droit international et Européen Issy Les Moulineaux,90,96,DROIT,SC. POLITIQUES RI,['HGGSP'],"['HLP', 'LLCE', 'SES']",['DROIT ET GRANDS ENJEUX'],1,2,3,4
LILLE,Institut Catholique de Lille,Licence de Droit - Parcours droit et culture juridique – Lille,250,80,DROIT,SC. POLITIQUES RI,['HGGSP'],"['HLP', 'SES']",['DROIT ET GRANDS ENJEUX'],0,2,3,4
LILLE,Institut Catholique de Lille,Licence de Droit – Parcours Multilingue droit international et Européen - Lille,157,61,DROIT,SC. POLITIQUES RI,['HGGSP'],"['HLP', 'LLCE', 'SES']",['DROIT ET GRANDS ENJEUX'],1,2,3,4
LILLE,Institut Catholique de Lille,Licence de Droit – Parcours Droit et Science Politique Lille,157,52,DROIT,SC. POLITIQUES RI,['HGGSP'],"['HLP', 'SES']",['DROIT ET GRANDS ENJEUX'],0,2,3,4
LILLE,Institut Catholique de Lille,"ESPOL - Licence de Science Politique – Parcours Philosophie, Politique et Économique (PPE)",105,70,SC.POLITIQUE RI,SCIENCES SOCIALES,"['HGGSP', 'MATHS COMPLEMENTAIRES']","['HLP', 'LLCE', 'SES']",['DROIT ET GRANDS ENJEUX'],1,3,3,4
LILLE,Institut Catholique de Lille,ESPOL - Licence de Science Politique – Parcours Licence Européenne de Science Politique,190,49,SC.POLITIQUE RI,SCIENCES SOCIALES,['HGGSP'],"['HLP', 'LLCE', 'SES']",['DROIT ET GRANDS ENJEUX'],1,3,3,4
LILLE,Institut Catholique de Lille,ESPOL - Licence de Science Politique – Parcours Relations internationales,180,26,SC.POLITIQUE RI,SCIENCES SOCIALES,['HGGSP'],"['HLP', 'LLCE', 'SES']",['DROIT ET GRANDS ENJEUX'],1,3,4,4
PARIS,Catho de Paris - ICP,Licence d'Histoire - Parcours Histoire et Science Politique,220,38,HISTOIRE,SC. POLITIQUES RI,['HGGSP'],"['HLP', 'SES']",['DROIT ET GRANDS ENJEUX'],0,2,4,4
PARIS,Catho de Paris - ICP,Licence de Philosophie,50,100,HUMANITES,PHILOSOPHIE,['HLP'],['HGGSP'],['DROIT ET GRANDS ENJEUX'],0,2,3,3
PARIS,Catho de Paris - ICP - Lycées Stanislas et Saint Jean de Passy,"Licence de Philosophie + Bachelor Science Politique, Géopolitique et Humanités",,,SC.POLITIQUE RI,PHILOSOPHIE,"['Maths', 'HLP', 'HGGSP', 'MATHS COMPLEMENTAIRES']",['SES'],['DROIT ET GRANDS ENJEUX'],0,4,5,4
